Gene.symbol	astrocyte_of_the_cerebral_cortex	Bergmann_glial_cell	brain_pericyte	endothelial_cell	neuron	oligodendrocyte	oligodendrocyte_precursor_cell
GABRA1	0.0028463973	0.0468250024	0.0024826536	0.0005774091	0.759978246	0.0044602167	0.1193464269
EHD2	0.02387544	0.001337858	1.767123153	0.659808005	0.007712303	0.009581641	0.033583826
FAS	0.0139759885	0	0.0603573352	0.6863913563	0.0003001245	0.0025634097	0.0002095522
AGPAT4	0.09000622	0.19948137	0.08263631	0.22159308	0.15656611	1.80182897	0.4888357
LRRC7	0.001384595	0.000488624	0.0002862075	9.868722e-05	0.2579019	0.002178634	0.06827669
FLT4	0.0001768715	0	0.00065519	0.3173197	0.005620761	0.0001050438	6.339025e-05
VCAN	0.066492496	0.0790951744	0.0004544035	0.0059872186	0.1052858889	0.0214557143	1.8277051762
TNC	0.0241481888	0.4353002967	0	0.0001384004	0.0136592077	0.0003532556	0.0284748748
GPM6B	2.71660664	3.65261918	0.015659	0.05229792	1.19781183	3.13089471	2.66563558
PREX2	1.04022016	1.06709434	0.02004023	0.49356846	0.02700922	0.03082976	0.04014699
ARHGAP6	7.549787e-05	0	0.2472968	0.0172751	0.02142383	0.001479886	0.01479069
KITLG	0.0109928631	0.2482628382	0.2588754442	1.0397093059	0.1645781741	0.0014157337	0.0003174552
LTBP1	0.309907333	0.113155339	1.636363597	0.009209366	0.00979585	0.014177569	0.633742378
RCN1	0.09030847	0.03671506	0.04008677	0.08464404	0.34736523	0.01294509	0.95207585
DKK3	0.915283448	0.30680408	0.019168395	0.002155055	0.199876033	0.015798719	0.068188372
NRIP2	0.006827655	0.006378991	2.118103674	0.006788603	0.05196437	0.014223369	0.00872085
ENTPD2	0.850827134	0.124291238	0.016546115	0.011826673	0.008180648	0.002915549	0.054481919
FOXC1	0.002171582	0	0.6837373	0.4963271	0.0001138807	0.0007048214	5.802495e-05
PLEKHH1	0.012842398	0	0.004438556	0.007393518	0.015551218	0.529325306	0.029412442
RASGRF1	0.022727795	0.068614609	0.008143893	0.00376313	0.742961331	0.004009513	0.286421155
CAMK2B	0.019771929	0	0.022131469	0.007078717	1.625233395	0.041006322	0.247756665
ATP2B4	0.042275552	0.008322324	0.631370905	0.041888142	0.106168619	0.006676576	0.0939641
DGKG	0.014838205	0.018076611	0.606417189	0.001492739	0.559837706	0.003916584	0.012115281
VMP1	0.4469246	0.3864057	0.2339312	0.3236646	0.6936616	1.8116105	0.7488403
SEZ6	0.005246081	0	0.006196264	0.005203042	0.609477093	0.004316034	0.380838217
ST3GAL6	0.0556375	0.26661431	0.10334522	1.43607357	0.01582834	0.02052666	0.36398352
SLC12A2	0.08429419	0.12592021	0.12766712	0.04464925	0.15315627	1.3705609	0.33160524
BCAS1	0.130634433	0.0959774	0.009422335	0.042950929	0.035324134	1.266416336	1.024282058
CALCRL	0.006713379	0.062515107	0.216741215	0.414717804	0.006008287	0.005805134	0.721919882
SLC9A3R2	0.05676017	0.16586177	1.07707117	2.88332822	0.23197112	0.28534077	0.25377528
NTN1	0.009957219	0	0.04247555	0.04613423	0.042124811	0.005267951	0.384068053
MYLK	0.015333642	0.0005315611	3.1579053642	0.1501286101	0.0103153523	0.0061154075	0.0133231808
TIE1	0.003485356	0	0.03885735	0.89105	0.0008366049	0.0003033107	5.902613e-05
NGEF	0.6785417121	0	0.0039831375	0.0003833564	0.7048740197	0.0127963728	0.1531478554
FGFR2	0.405553058	0.6267646	0.008388994	0.002801741	0.029022834	1.123602121	0.05339545
KIF26A	0.0007088601	0	0.0047032752	0.3132237554	0.005990127	0.0011923838	0.0283131504
TRO	0.0038875725	0.0002941007	0.0011499842	0.0006623587	0.5779362467	0.0119543248	0.3412357001
PRKCZ	0.0566206	0.097718554	0.003257442	0.011895245	0.606845456	0.956766664	0.358307178
SYT1	0.02198204	0.0638054	0.01064586	0.01002937	1.77776482	0.02583359	0.03695351
FGFR3	1.74897437	1.09910864	0.02809785	0.06954596	0.02163466	0.02458591	0.225527
REEP1	0.0036556397	0.0005776647	0.0413776992	0.1054085236	0.3009680052	0.0042244896	0.587680288
RASGRP2	0.016767536	0	1.009080439	0.364677102	0.245460387	0.007010348	0.07918311
SIRT2	0.566749	0.827615	0.4783731	0.4035116	0.2649544	1.8825313	1.9364077
CLEC2D	0.0019380023	0	0.0835743403	0.3921783333	0.0062735648	0.0036581486	0.0006935515
ATP1B3	0.5658309	0.4473895	0.7081649	1.0015199	0.5690955	2.2946449	1.0725713
SLC44A1	0.20986481	0.09789595	0.04580209	0.14069445	0.113305	2.25608682	1.01800716
ST6GALNAC2	0.003310865	0.001332413	0.147131572	1.034567058	0.00730331	0.005811765	0.012166899
ACTN1	0.003635455	0.015422659	0.49040495	0.058283824	0.126583872	0.00360161	0.002287178
LNX1	0.048684021	0.003634661	0.001596792	0.011795877	0.053587125	0.014303317	0.870472319
CRMP1	0.0264228385	0.0006035128	0.0019163715	0.0002615919	0.8348902931	0.0299550423	0.3071762639
IRAG1	0	0	1.273792605	0.0105935553	0.0021498149	0.0004333802	0.0111901968
ADAM11	0.049891491	0.268887117	0.03237037	0.023218851	0.132036881	0.007587645	0.15990606
NOTCH3	0.032477362	0.001097688	1.149687143	0.021872267	0.037347188	0.001939899	0.004739744
ATP2A3	0.0037347567	0.000480122	0.7324112932	0.0738039965	0.0003927403	0.0042734546	0.0003181017
MGLL	1.7805925	0.6381077	0.9925609	0.5364707	0.507595	0.2398926	1.1174575
NTN4	0.0036318997	0	0.764414436	0.0127756241	0.0047212815	0.0001685072	0.0306907925
KCNQ2	0.008067518	0	0.014231981	0.001900446	0.385406455	0.008118371	0.12611661
SEMA3C	0.0047217851	0.0241419621	0.0102434321	1.1412007619	0.0437564649	0.0087574807	0.0004360564
CELSR1	0.1951683566	0	0.0008282742	0.0048381092	0.0187799076	0.0031255786	0.0089552722
ADD2	0.0010291471	0	0.0013269217	0.0002604178	0.4787818837	0.0077285548	0.0778143622
CACNG5	0.0267187949	0.8690544407	0.0008000925	0.0001035606	0.0744403984	0.0123435415	0.1293134044
CACNG4	0.030736445	0.210621113	0	0.001124554	0.122845638	0.005187358	1.366380527
FSCN1	0.043079347	0.3843084	0.013864938	0.007512821	0.406713195	0.800263951	0.602137848
SPAG5	0.06557606	0.490287	0.0001474023	1.106788e-05	0.07237544	0.0005878027	0.003472631
TRAF4	0.06149422	0.32371273	0.05481104	0.0130099	0.17889563	0.02887732	1.63645485
RAP1GAP	0.0582783918	0.0272664829	0.0304758975	0.0003332242	0.4802883112	0.0414608143	0.7424527161
ACTL6B	0.01143454	0	0.0006774423	4.938835e-05	0.4466991	0.00263177	0.0710138
PPP1R12B	0.06567	0.05278865	1.12175928	0.03332525	0.14296706	0.05140208	0.06991602
FGFR1	0.73433405	0.50033596	0.59806344	0.06112152	0.10052959	0.03888171	0.26890978
ITGA8	0.00533354	0	0.303788265	0.006547047	0.015363933	0.001096114	0.036448871
ADCYAP1R1	0.741393479	0.808825995	0.036219955	0.009666669	0.141646479	0.016431523	0.964400525
ITM2A	0.0262003787	0.0002900837	0.0661504641	4.1001144542	0.149805705	0.0167440653	0.3916584244
SLC1A3	3.402048217	3.639372433	0.003210886	0.03620138	0.150665958	0.310628688	0.984159496
LXN	0.89461666	1.87119928	0.11505791	0.28649056	0.08856081	0.029186	0.13033518
SP140	0.0056331954	0.0003581002	0.0171358177	0.7334750416	0.0015874549	0.010588658	0.000903463
SLC4A4	1.774031715	2.640383552	0.012691253	0.001322184	0.379079726	0.042649424	0.197068813
KCNN2	0.4627542872	1.0630629302	0.0001239665	0.0017779944	0.1335445907	0.0105706125	0.0555488895
CPOX	0.110607	0.09065671	0.08742641	0.10200254	0.21204432	1.18842157	0.26512109
SEMA5B	0.058403709	0.0151372752	0.0265697538	0.0004909153	0.111833147	0.0011751436	0.6205785209
RNF13	1.0380254	1.1501128	0.4535213	0.3333663	0.3647191	2.4651875	0.9410314
TRPM3	0.239691755	0.677881022	0.04613314	0.003539792	0.113555035	0.014506499	0.052165915
GSTP1	0.6326323	0.5357089	1.0769602	0.7366812	1.1256662	2.1779742	0.9159263
SLCO1A2	0.0010320633	0.0104734214	0.0149649572	2.1942816426	0.0013370273	0.0008213858	0.0003242469
NKAIN1	0.0623983524	0.0002900837	0	0.0008631515	0.2355597647	1.1901975059	0.1282435388
CD59	0.002432571	0.075725635	0.292076933	1.081913895	0.118384643	0.112112473	0.007844938
CD82	0.178750828	0.053892216	1.101449884	0.081346162	0.009952836	1.683658447	0.119740209
ABCB1	0.0029707971	0	0.0123745487	1.497007153	0.0033204521	0.0006184103	0.0001470734
MMP2	0.018132293	0.012224156	0.002012672	0.005927454	0.023629094	0.013480883	0.598150069
MT3	2.26412306	1.98212537	0.01144404	0.01443342	0.69256156	0.21123444	0.60912237
TESC	0.0100355153	0	0.5766246425	0.0003756574	0.6631699109	0.0071789747	0.0005376798
RPH3A	0.007584557	0	0.001457211	0.002658832	0.633455657	0.021478125	0.145128765
CHGB	0.021173985	0.087600701	0.0051541	0.001715774	1.665164552	0.015520834	0.376917051
LTBP4	0.01285313	0.03687539	0.19922216	1.23599457	0.03047771	0.0198373	0.16825156
PCBP4	0.19283007	0.63479813	0.07788353	0.0526896	0.36786067	1.32731616	0.6355028
PLEKHG2	0.0136551098	0.0006305867	0.2895925668	0.0735639584	0.0088099466	0.0034748108	0.0394787785
DLL3	0	0	0	0.00143941	0.110270578	0.004042429	0.545355902
NRCAM	0.6968627567	0.7782924598	0.0006705193	0.0025023675	0.3641538864	0.0188499436	0.5711492157
ITGA6	0.228919501	0.090076922	0.004751266	0.829978146	0.011365636	0.003898153	0.010462698
TF	0.25553561	2.72583649	0.02137427	0.09848142	0.0953561	4.65890941	0.29546586
ANGPT2	0.0062984379	0.0008627858	0.4773868837	0.0851233083	0.0061039162	0.0005413133	0.0153413068
TYRO3	0.042046011	0	0.0007087242	0.0006097048	0.2533975885	0.72707746	0.1789711141
TBX15	0.0060350467	0	0.2418638013	0.0013722634	0.0002820445	0.000675215	0
EZR	1.13753936	0.31656249	0.01794021	0.11575443	0.18498506	0.03182825	0.01139515
ACOT7	0.19352589	0.07513334	0.14683317	0.02730972	1.29581872	1.70920714	0.44840912
SCD	2.1678501	2.4736758	0.155073	0.2166703	0.60977	2.721398	1.6504334
ABLIM1	0.155721362	0.017900786	0.294096975	1.92467484	0.254694203	0.013868613	0.006430078
NRP1	0.17014531	0.12598257	0.2550872	1.03607504	0.0800345	0.00161422	0.04957311
PALMD	0.0258931015	0	0.0057778862	1.1319921135	0.0190782342	0.0005414262	0.0244878651
TSPAN15	0.64135811	1.64527014	0.13593383	0.08972835	0.03322587	1.47348672	0.34528155
SUSD2	0.01232734	0	0.4395767	0.0004865302	0.01043978	0.002159023	8.584089e-05
PRODH	0.86876262	0.590891805	0.068776237	0.039494307	0.008809683	0.012302246	0.021814144
SEZ6L	0.022762282	0.009600298	0.022173097	0.002633182	0.346193385	0.026739227	1.108979432
LGALS1	0.17433335	0.1618335	1.23493409	0.02615821	0.01869215	0.03547141	0.02078904
SOX10	0.0264691942	0	0.0001452631	0.0028263755	0.0258725793	1.186080932	1.5563354591
SEPTIN3	0.069791865	0.0031988196	0.0097209016	0.0006013913	0.9961188098	0.0265221699	0.3976313906
RAB36	0.0561276109	0.3444581502	0.0212358937	0.0008546679	0.1202973825	0.006683129	0.0410707675
PDGFB	0.0001719338	0	0.1590983639	0.602237302	0.0363557522	0.0008873839	0.000175375
CACNA1I	0	0.009412005	0.0002611989	0	0.1890449	2.864998e-05	0.001006396
KIAA0930	0.19678954	0.10364808	0.01883945	0.07311558	0.09277216	0.98335782	0.22604523
CHADL	0.216538183	0.084680995	0.041406216	0.005535297	0.105621345	0.186544899	1.39224015
MLC1	2.379093412	2.0238076	0	0.007601606	0.067434465	0.102966202	0.071751687
TRIM9	0.7657418466	0.1502769612	0.0022472882	0.0007011393	0.5794646832	0.0218637023	0.3937037923
ASB2	0.0001192595	0	1.6530861558	0.0023214434	0.0617475109	0.0011401282	0.0051480129
NFKBIA	0.5193591	0.3465538	1.2659888	2.9376128	0.3480674	0.9180876	0.3418558
PLTP	0.208944176	1.85822727	0.187176412	4.254606616	0.037442961	0.026682013	0.004018423
PYGB	1.0185005	0.6984509	0.6837555	0.0574073	0.1653815	0.1392845	0.1529785
BMP7	0.134350352	0	0.000129993	0.004712237	0.009792616	0.005699453	0.54023439
HRH3	0.006144243	0	0.001033426	9.960272e-05	0.259534	0.0005095458	0.008507668
SLCO4A1	0.0240034876	0.8717813636	0	0.0001873273	0.0060407214	0.001098732	0.0004718639
NKAIN4	1.35758079	1.3466051	0	0.0134439	0.05382451	0.02781677	0.51822275
CHRNA4	0	0	0.0001648487	0.0002178083	0.02706541	2.630078e-05	0.4782189
EEF1A2	0.0003163031	0.001291911	0.00123094	1.741959e-05	0.1934302	0.002225762	0.02024083
SLC52A3	0.0002311022	0	0.0076070846	0.7485555189	0.0004801506	0.0002105669	0.0013059306
MYL9	0.10288736	0.14495215	4.7877413	0.12537979	0.02289702	0.01800963	0.03988346
CST3	4.725067	2.669154	2.836531	2.328331	1.184311	1.153952	2.231878
CELF4	0.04583703	0.03465651	0.02463432	0.01398032	1.48143747	0.05625097	0.1306188
MYOM1	0.0050563887	0	0.4966296849	0.0015319198	0.0004557138	0.0012366818	0
LIPG	2.562319e-05	0	0.1630658	0.000505058	0.003392319	0.0001911826	0.0001704817
RNF125	0.014533222	0	0.010184422	0.772616212	0.008371792	0.034023871	0.010935681
GUCY2F	0.0041560433	0	0	0.0012462607	0.0072445956	0.0007728776	0.1580056104
CHRDL1	0.4681547476	0	0	0.0005414936	0.0023182123	0.0067513703	0.0240343691
DRP2	0.1006400881	0.2804757258	0.0072817434	0.0001255796	0.0826195986	0.0048318927	0.066092928
BEX4	0.01568856	0.02087501	0.0004551275	6.005796e-05	0.3997426	0.008233901	0.2579521
FGF14	0.01958192	0.0769579	4.154455e-05	0.0008761192	0.3469041	0.005697347	0.09996132
FGF9	0.001421167	0	4.154455e-05	0.002577152	0.2647913	0.008082219	0.0002234728
FLT1	0.0125259135	0.0006035128	0.067485387	3.0806267263	0.0036578077	0.0023079803	0.0056989115
TSC22D1	0.678044	0.5310146	3.0363676	3.6736911	1.3694786	0.1367957	2.3843265
PLLP	0.09073787	0	0.01097512	1.67125721	0.04747328	2.52367929	2.78092295
MMP15	0.03859021	0.11790055	0.02007054	0.10199404	0.02405799	0.01223879	0.50003097
FA2H	0.0332766616	0	0	0.0009405449	0.0092514641	1.2862593588	0.2960166648
WFDC1	0.0593721337	0.1943089069	0.8777220184	2.5370053848	0.0068779731	0.0010101349	0.0005147494
COTL1	0.24696762	0.64624277	0.01949708	0.01067783	0.14309667	0.05661185	0.31314534
CRISPLD2	0.023697634	0	1.941015595	0.010926581	0.009333594	0.002581584	0.001365707
SLC7A5	0.053106235	0.12766775	0.018259031	1.038170066	0.065953836	0.001176042	0.060762873
METRN	0.709689891	1.567940511	0.065395314	0.007409291	0.02543574	0.388107601	0.431548672
TOX3	0.0272402666	0	0.0002881589	0.0124176665	0.1077273484	0.0035869607	0.2647921614
XYLT1	0.105300669	0.028861984	0.002520865	0.001318056	0.02549016	0.00661664	0.562397623
RASL12	0.0038776061	0.0006440628	1.9263486336	0.0086550424	0.0013836244	0.0431247974	0.2293299538
ACSBG1	2.643421107	2.954552261	0	0.006696431	0.072356102	0.105985755	0.196320563
IGDCC4	0.3465325	0.3461521	9.803222e-05	0.002428328	0.0274042	0.002289335	0.07049203
CTSH	0.043573981	0.014683936	0.088965457	1.718659063	0.015386211	0.011441731	0.002540274
SCG3	2.418735131	2.381109368	0.00272111	0.009624557	0.713185961	0.271096958	1.005516859
ZDHHC2	0.010313404	0.067481309	0.002795649	0.002199211	0.189604339	0.032747237	0.75351065
CA2	1.94265298	0.50743548	0.03267868	0.68486338	0.07780769	3.50553346	0.34803736
PLAT	0.12499004	0.05467545	0.9647887	2.12733763	0.11493402	0.30480806	0.42760331
STMN2	0.038454036	0.002018079	0.02461703	0.315643467	1.364292728	0.041123438	0.032212527
ARHGEF10	0.070703093	0.128043793	0.045319952	0.13652615	0.006379288	0.825147047	0.117417781
TUBB4A	0.1990628	0.6256828	0.3977564	0.0344577	1.3721055	4.0535771	1.5678546
LIN7B	0.0198374945	0	0.0191529779	0.0002027661	0.5265912573	0.0058290736	0.0287804618
FCGRT	0.452132589	0.491578263	0.892793191	2.063641445	0.027966067	0.007958083	0.025717913
OLFM2	0.046846974	0.321859283	0.012646241	0.001654449	0.216173322	0.011233633	1.674789472
EPHX3	0.0055140854	0	0.4951523719	0.0064181127	0.0006138123	0.0013001779	0
APLP1	1.9970774	1.7377474	0.2138017	0.1223581	1.5799663	4.0825522	1.3382673
DENND3	0.0006372535	0.0216922542	0.0032810631	0.3686795769	0.0099513103	0.0001647734	0.0074125131
ICAM5	0.0016714548	0	0.0009029748	0.0011587852	0.3694540874	0.0057450349	0.024354665
ATP1A3	0.015208128	0.012960626	0.011017175	0.007322983	1.752881447	0.017542717	0.457781378
RASIP1	0.02829042	0.08283005	0.0598678	1.17855005	0.09804156	0.016615	0.05543693
ISYNA1	0.02028066	0.0779859	1.29703097	1.71611084	0.3463549	0.0107691	0.04570768
MAG	0.12474673	0.003481715	0.006232223	0.012933123	0.05276477	3.642291468	0.243792604
TMEM59L	0.041836991	0.10864821	0.003148771	0.004750669	1.314789469	0.141177927	1.267141154
LSR	0.004151968	0.0005908634	0.051112199	2.098520774	0.0144397221	0.0047474547	0.0106118952
SCN1B	0.06471576	0.1989343	0.11811001	0.01186471	0.80276627	0.0479029	0.1950796
MPP6	0.39787056	1.42522415	0.03104462	0.02590294	0.3536848	0.03867814	0.28002414
ADAP1	0.021047017	0.005516833	0.054298207	0.001255392	0.261662277	1.027016958	0.07268038
CHN2	0.04468079	0.23957053	0.01698954	0.28019501	0.54035671	1.3029986	0.23608874
HSPB1	0.017255495	0.025694438	2.459167411	2.657538313	0.038707175	0.01079081	0.008981576
PTPRZ1	1.975477369	2.422556036	0.001043413	0.007585174	0.238478381	0.076033439	2.789775767
PCOLCE	0.0169114467	0.1018137832	0.9084806061	0.0322187816	0.0030546017	0.0031132628	0.0007783881
TSPAN13	0.1282289	0.08361002	0.03580378	2.4108658	1.09254032	0.03933401	1.33210732
RARRES2	0.2051195545	0.2727714245	0.9634137061	0.0386745443	0.0004928507	0.0058515572	0.0046730154
GLI3	0.304547129	0.095603281	0.023844496	0.004058782	0.033140405	0.004797137	0.007530782
LHX2	0.541091325	0	0	0.001515102	0.08474032	0.014944058	0.03470872
ASPN	0.0037973495	0.0027738568	1.4426356375	0.0203207026	0.0022528195	0.0021055253	0.0003295195
DNM1	0.010232263	0.196746694	0.005815925	0.002774541	0.650949288	0.009086253	0.092623104
ENG	0.010649357	0.010475908	0.45773744	2.315455732	0.005042724	0.003727016	0.001031929
KANK1	0.22736243	0.3637043	0.44655683	0.08103384	0.0152507	0.05324147	1.15704588
ELAVL2	0.0031233037	0	0.0003483788	0.0001120688	0.2896619422	0.0042751265	0.0066197178
PTGDS	0.23487142	0.10285299	0.02274749	0.03842017	0.03990918	3.6520562	0.41800335
ABCA2	0.26865629	0.12934671	0.09422408	0.03954696	0.23326543	1.56497897	0.2969282
CXCL12	0.026619112	0.01203114	0.219605792	2.501193716	0.098941112	0.019464165	0.001677436
UNC5B	0.02832307	0.01025484	0.03608428	0.25826595	0.04087474	0.94675011	0.05229398
SPOCK2	0.06321726	0.42805263	0.09266634	2.14565879	0.73063258	0.01541543	0.36371022
ACTA2	0.055746379	0.007663115	5.517574479	0.05110617	0.043456307	0.015227863	0.02066511
ASPA	0.0681614194	0.0654743435	0.0006417693	0.0009956792	0.0024183236	1.622638479	0.0647136193
SEPTIN4	0.3198263	2.6088927	1.1061534	0.5310024	0.1862135	3.4248166	0.4502345
P2RX1	0.0003145831	0	0.487277	0.001660746	0.0005618537	0.000118855	3.339361e-05
ICAM2	0.0030731972	0	0.0236554064	1.3941496566	0.001212377	0.0067222018	0.0002626741
DHX58	0.007875338	0	0.470211232	0.09066864	0.011925868	0.005508384	0.004038354
SGCA	0.001002546	0	0.4816756	0.004521858	0.0003138744	2.968926e-05	0
EFNB3	0.0249741418	0	0.0035707085	0.0006650856	0.143064903	1.1406679969	0.1331053275
FAM20A	0.562426756	0.649931994	0.333227999	0.052828477	0.00968996	0.003538988	0.006718452
MAP2K6	0.131169293	0.503303444	0.038694201	0.026894273	0.095177617	0.008423102	0.032120615
SLC9A3R1	1.4451497	0.8610169	0.5736751	0.1632192	0.1548162	0.1236791	0.1153977
VTN	0.0255436445	0	1.5684113822	0.2020538874	0.0392430857	0.0056057415	0.0009003094
ALDOC	4.62866023	4.66643087	0.04000355	0.05363782	0.31560948	0.63490592	1.85570471
GABRA4	0.175058859	0.518969113	0.002433326	0.001027199	0.640642461	0.007912529	0.053733237
INPP4B	0.007893123	0	0.891006183	0.006618136	0.12379575	0.010158523	0.079980028
CPE	4.0418699	1.1450501	2.3616222	0.5322721	2.1845369	0.7980815	2.4907006
TRIM2	0.1560642	0.31929219	0.14608574	0.00134714	0.49876093	0.89294054	0.26776175
UGDH	0.13449386	0.04381199	0.06105366	0.05802411	0.15573322	0.03583493	1.05784382
CRYAB	0.46559624	0.57075712	1.4575422	0.02800725	0.21451104	2.62105958	1.02981472
CCND1	0.099891833	0.009051715	0.278845314	0.365437993	0.184936366	0.030564983	1.898803524
ARHGEF17	0.102044378	0.022992057	0.730041696	0.009679316	0.331213455	0.0070377	0.092905866
KIAA1549L	0.008567137	0	0.0003262386	0.0002399977	0.3343441001	0.0087718201	0.0484452408
SLC1A2	4.25130322	2.99778179	0.01679821	0.0266036	0.30216459	0.47056909	1.36652108
MDK	0.4864776	1.108649	6.893765e-05	0.01473951	0.1837051	0.02316038	0.5890671
SLC35F2	0.0005182829	0	0.0018004863	0.6225437725	0.0106387722	0.0020478262	0.0245905399
ELMOD1	0.024300306	0.058321156	0.001552494	0.001816185	0.983729114	0.006416945	0.048955137
SOX6	0.1967096737	0.1196448017	0.2671447705	0.0006832182	0.0394262952	0.0094989965	0.7421386855
PTPN5	0.015276395	0	0.004935554	0.00130477	0.943816483	0.006288107	0.312117807
DAO	0.006563126	0.3760875	0	0.0005853553	0	9.606854e-05	0
SYT10	0.01744374	0.4853506	0	9.723689e-06	0.07221062	0.002793266	0.008299237
ELK3	0.008837302	0.007847652	0.04756119	0.329598853	0.026413034	0.002645106	0.025106182
WNT5B	0.001900408	0	0.941214797	0.051839674	0.01304755	0.027533573	0.008270561
PRMT8	0.011747448	0.001125503	0.001356743	0.000117848	0.256428626	0.002191056	0.022790888
KCNA1	0.036238631	0.045192971	0.001155239	0.003748663	0.800524679	1.304625093	0.351209894
SLC38A1	0.0950046332	2.0790801375	0.0005657146	0.0011176632	0.6993764467	0.0219531895	0.1636782998
CHPT1	0.70793657	1.6655262	0.22807422	0.13277366	0.08042965	0.35971918	1.27873263
ENO2	0.048558034	0.076544413	0.040088624	0.002560208	1.245928329	0.069810078	0.121704783
LDHB	2.7625914	2.8716071	0.7823807	0.1321351	2.4413475	0.5578623	1.6692153
RFX4	0.2672132	0.2106722	0.001016203	2.906475e-05	0.02392209	0.003020844	0.1503093
FRK	0	0	0.2201052	0.003309573	0.0001354029	1.763915e-05	0.004720086
UST	0.010190958	0.864410847	0.007547019	0.00392577	0.16656197	0.116017868	0.43905058
RBM24	0.012991413	0.098224697	0.543540857	0.003953354	0.161182887	0.001413397	0.013288877
CAP2	0.210791005	0.728991405	0.95658345	0.009605362	0.549940239	0.00863214	0.215262011
FHL5	0	0	0.3654627	1.810682e-05	0.0001602816	0.0003178642	0
GPLD1	0.72766461	1.03408638	0.01043824	0.01305159	0.02656485	0.06352271	0.80034254
NR2E1	0.3766994473	0	0	0.0003360711	0.0488878258	0.001017231	0.2121913662
PERP	0.006895704	0.006273584	1.793834901	0.040131468	0.078693657	0.011202163	0.017198985
QKI	2.0024006	2.0693925	0.2434718	1.0557456	0.3479451	2.6651766	2.0077992
CLIC5	0.0013267968	0	0.006673351	0.618784577	0.0009372584	0.004456667	0.0059017988
TBX18	0	0	0.4855510094	0.0100266726	0.0004992944	0.0017679266	0
SEMA5A	0.0083213183	0.0004405401	0.265284569	0.0197924473	0.1626202348	0.0359611408	0.6433690162
SPARC	1.4707512	3.9165289	2.8392715	3.3962237	0.1485188	0.5153494	0.6357612
GABRG2	0.0019711436	0	0.0129328231	0.0001614661	0.7264873701	0.0037386832	0.0224662514
DPYSL3	0.024200223	0.02424308	1.014309675	0.004953402	0.440102362	0.010740019	1.301055128
PDGFRB	0.185305706	0.109907446	0.881524684	0.04122117	0.003251189	0.004428853	0.009734287
RNF7	0.3975223	0.51453	0.6388952	0.6267808	0.7269229	1.8165413	0.7373531
HES1	0.115114992	0.041679901	1.112274548	0.950297331	0.024695225	0.003828849	0.132937564
SLC41A3	0.027819143	0.238781958	0.099984483	0.020212565	0.021231668	0.008384241	0.013306046
PODXL2	0.027529115	0.003660248	0.11603536	0.003697202	0.452244698	0.010141616	0.62899933
CSPG5	2.427631062	0.740196179	0.008677901	0.012332592	0.567909626	0.123084122	3.405018807
PEX5L	0.069016431	0	0.132496593	0.003700724	0.182619971	1.731794076	0.1646286
ARHGEF26	0.4644872192	0.4056298778	0.0002494911	0.0015498519	0.0289340091	0.010607978	0.1473743901
RTKN	0.067514704	0.109018022	0.015154675	0.008269144	0.168279604	1.044158814	0.608058478
KCNIP3	0.387726142	0.15182151	0.114452727	0.002671503	0.294164751	0.023989815	1.778921108
